[2026-01-27 17:45:41] [DEBUG] HDFCAMC: RSI condition failed (33.89)
[2026-01-27 17:45:41] [DEBUG] HDFCBANK: RSI condition failed (26.21)
[2026-01-27 17:45:41] [DEBUG] HDFCLIFE: RSI condition failed (33.30)
[2026-01-27 17:45:41] [DEBUG] HEG: RSI condition failed (41.36)
[2026-01-27 17:45:41] [DEBUG] HEROMOTOCO: RSI condition failed (29.15)
[2026-01-27 17:45:41] [DEBUG] HEXT: RSI condition failed (39.74)
[2026-01-27 17:45:41] [DEBUG] HFCL: RSI condition failed (38.31)
[2026-01-27 17:45:41] [DEBUG] HINDCOPPER: Close below 30D high
[2026-01-27 17:45:41] [DEBUG] HINDPETRO: RSI condition failed (31.46)
[2026-01-27 17:45:41] [DEBUG] HINDUNILVR: RSI condition failed (52.63)
[2026-01-27 17:45:41] [DEBUG] HONASA: RSI condition failed (38.72)
[2026-01-27 17:45:41] [DEBUG] HONAUT: RSI condition failed (25.22)
[2026-01-27 17:45:41] [DEBUG] HSCL: RSI condition failed (35.25)
[2026-01-27 17:45:41] [DEBUG] HUDCO: RSI condition failed (30.34)
[2026-01-27 17:45:41] [DEBUG] HYUNDAI: RSI condition failed (33.85)
[2026-01-27 17:45:41] [DEBUG] ICICIBANK: RSI condition failed (41.77)
[2026-01-27 17:45:41] [DEBUG] ICICIGI: RSI condition failed (26.98)
[2026-01-27 17:45:41] [DEBUG] ICICIPRULI: RSI condition failed (41.81)
[2026-01-27 17:45:41] [DEBUG] IDBI: RSI condition failed (40.69)
[2026-01-27 17:45:41] [DEBUG] IDEA: RSI condition failed (34.47)
[2026-01-27 17:45:41] [DEBUG] IDFCFIRSTB: RSI condition failed (45.63)
[2026-01-27 17:45:41] [DEBUG] IEX: RSI condition failed (37.45)
[2026-01-27 17:45:41] [DEBUG] IFCI: RSI condition failed (52.60)
[2026-01-27 17:45:41] [DEBUG] IGIL: RSI condition failed (29.87)
[2026-01-27 17:45:41] [DEBUG] IGL: RSI condition failed (29.51)
[2026-01-27 17:45:41] [DEBUG] IIFL: RSI condition failed (27.93)
[2026-01-27 17:45:41] [DEBUG] IKS: RSI condition failed (30.13)
[2026-01-27 17:45:41] [DEBUG] INDGN: RSI condition failed (16.13)
[2026-01-27 17:45:41] [DEBUG] INDHOTEL: RSI condition failed (27.99)
[2026-01-27 17:45:41] [DEBUG] INDIACEM: RSI condition failed (51.32)
[2026-01-27 17:45:42] [DEBUG] INDIAMART: RSI condition failed (46.91)
[2026-01-27 17:45:42] [DEBUG] INDIANB: RSI condition failed (55.60)
