[2026-01-27 22:31:43] [INFO] Momentum Engine Started (Chartink Logic)
[2026-02-06 01:22:41] 66RJ30C-SG | SKIP insufficient candles
[2026-02-06 01:22:41] 66WB30-SG | SKIP insufficient candles
[2026-02-06 01:22:41] 651KA30C-SG | SKIP insufficient candles
[2026-02-06 01:22:42] 664PY32-SG | SKIP insufficient candles
[2026-02-06 01:22:42] 662KA32A-SG | SKIP insufficient candles
[2026-02-06 01:22:42] 665TR35-SG | SKIP insufficient candles
[2026-02-06 01:22:42] 665AP36-SG | SKIP insufficient candles
[2026-02-06 01:22:43] 665TS40-SG | SKIP insufficient candles
[2026-02-06 01:22:43] 665AP40-SG | SKIP insufficient candles
[2026-02-06 01:22:43] 665PN50A-SG | SKIP insufficient candles
[2026-02-06 01:22:43] 868NHB29-N3 | SKIP insufficient candles
[2026-02-06 01:22:43] 865NHB34-N4 | SKIP insufficient candles
[2026-02-06 01:22:44] 890NHB34-N7 | SKIP insufficient candles
[2026-02-06 01:22:45] KABRAEXTRU | NEW → WAITING
[2026-02-06 01:22:45] 582RJ27-SG | SKIP insufficient candles
[2026-02-06 01:22:46] 645GJ30A-SG | SKIP insufficient candles
[2026-02-06 01:22:46] 658GA31-SG | SKIP insufficient candles
[2026-02-06 01:22:46] 663MN31-SG | SKIP insufficient candles
[2026-02-06 01:22:47] 659RJ31-SG | SKIP insufficient candles
[2026-02-06 01:22:47] KARURVYSYA | STATE=WAITING
[2026-02-06 01:22:47] KARURVYSYA | ENTRY → ACTIVE
[2026-02-06 01:22:47] 653TN31-SG | SKIP insufficient candles
[2026-02-06 01:22:47] 66UP31-SG | SKIP insufficient candles
[2026-02-06 01:22:48] 66UK31-SG | SKIP insufficient candles
[2026-02-06 01:22:48] 666JH34-SG | SKIP insufficient candles
[2026-02-06 01:22:49] 664JK36-SG | SKIP insufficient candles
[2026-02-06 01:22:49] 664AP39-SG | SKIP insufficient candles
[2026-02-06 01:22:49] 665AP41-SG | SKIP insufficient candles
[2026-02-06 01:22:49] 664TS51-SG | SKIP insufficient candles
[2026-02-06 01:22:49] 597CG27-SG | SKIP insufficient candles
[2026-02-06 01:22:49] 664SK31-SG | SKIP insufficient candles
[2026-02-06 01:22:50] 657TN31-SG | SKIP insufficient candles
[2026-02-06 01:22:50] 661UP31-SG | SKIP insufficient candles
[2026-02-06 01:22:50] 661RJ31-SG | SKIP insufficient candles
[2026-02-06 01:22:50] 664MZ32-SG | SKIP insufficient candles
[2026-02-06 01:22:50] CUMMINSIND | NEW → WAITING
[2026-02-06 01:22:51] 663WB41-SG | SKIP insufficient candles
[2026-02-06 01:22:51] 663AP37-SG | SKIP insufficient candles
[2026-02-06 01:22:51] 663PN51-SG | SKIP insufficient candles
[2026-02-06 01:22:51] KOTAKBANK | STATE=WAITING
[2026-02-06 01:22:51] KOTAKBANK | ENTRY → ACTIVE
[2026-02-06 01:22:52] 662UP31-SG | SKIP insufficient candles
[2026-02-06 01:22:52] 662GA31-SG | SKIP insufficient candles
[2026-02-06 01:22:52] 663ML31-SG | SKIP insufficient candles
[2026-02-06 01:22:53] 661KA33-SG | SKIP insufficient candles
[2026-02-06 01:22:53] 661WB36-SG | SKIP insufficient candles
[2026-02-06 01:22:53] 66KA37-SG | SKIP insufficient candles
[2026-02-06 01:22:54] 661MP37-SG | SKIP insufficient candles
[2026-02-06 01:22:54] 662TS41-SG | SKIP insufficient candles
[2026-02-06 01:22:54] TRENT | NEW → WAITING
[2026-02-06 01:22:54] 863IRFC29-NC | SKIP insufficient candles
[2026-02-06 01:22:55] 61CG27-SG | SKIP insufficient candles
[2026-02-06 01:22:56] 657GJ31-SG | SKIP insufficient candles
[2026-02-06 01:22:56] 661RJ31A-SG | SKIP insufficient candles
[2026-02-06 01:22:56] 661TS51-SG | SKIP insufficient candles
[2026-02-06 01:22:56] 662HR41-SG | SKIP insufficient candles
[2026-02-06 01:22:56] 662RJ41-SG | SKIP insufficient candles
[2026-02-06 01:22:56] 663HP31-SG | SKIP insufficient candles
[2026-02-06 01:22:57] 663WB31-SG | SKIP insufficient candles
[2026-02-06 01:22:57] 663HP33-SG | SKIP insufficient candles
[2026-02-06 01:22:57] 664UP31-SG | SKIP insufficient candles
[2026-02-06 01:22:58] RAMCOCEM | STATE=WAITING
[2026-02-06 01:22:58] RAMCOCEM | ENTRY → ACTIVE
[2026-02-06 01:22:58] HOMEFIRST | STATE=WAITING
[2026-02-06 01:22:58] HOMEFIRST | WAITING → DULL
[2026-02-06 01:22:59] 689BR28-SG | SKIP insufficient candles
[2026-02-06 01:22:59] 645RJ27-SG | SKIP insufficient candles
[2026-02-06 01:22:59] VTL | STATE=WAITING
[2026-02-06 01:22:59] VTL | ENTRY → ACTIVE
[2026-02-06 01:22:59] 699JK31-SG | SKIP insufficient candles
[2026-02-06 01:22:59] 685GA31-SG | SKIP insufficient candles
