[2026-02-02 22:56:53] KARURVYSYA | CHECK | ema_distance_ok = True
[2026-02-02 22:56:53] KARURVYSYA | FAIL | pyramiding conditions not met
[2026-02-02 22:56:54] KTKBANK | CHECK | rsi_strengthening = False
[2026-02-02 22:56:54] KTKBANK | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:54] KTKBANK | CHECK | ema_distance_ok = True
[2026-02-02 22:56:54] KTKBANK | FAIL | pyramiding conditions not met
[2026-02-02 22:56:54] LENSKART | FAIL | insufficient candles (59)
[2026-02-02 22:56:54] M&M | CHECK | rsi_strengthening = True
[2026-02-02 22:56:54] M&M | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:54] M&M | CHECK | ema_distance_ok = True
[2026-02-02 22:56:54] M&M | FAIL | pyramiding conditions not met
[2026-02-02 22:56:54] MAZDOCK | CHECK | rsi_strengthening = False
[2026-02-02 22:56:54] MAZDOCK | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:54] MAZDOCK | CHECK | ema_distance_ok = True
[2026-02-02 22:56:54] MAZDOCK | FAIL | pyramiding conditions not met
[2026-02-02 22:56:54] MID150BEES | CHECK | rsi_strengthening = False
[2026-02-02 22:56:54] MID150BEES | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:54] MID150BEES | CHECK | ema_distance_ok = True
[2026-02-02 22:56:54] MID150BEES | FAIL | pyramiding conditions not met
[2026-02-02 22:56:55] MRPL | CHECK | rsi_strengthening = False
[2026-02-02 22:56:55] MRPL | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:55] MRPL | CHECK | ema_distance_ok = False
[2026-02-02 22:56:55] MRPL | FAIL | pyramiding conditions not met
[2026-02-02 22:56:55] NAVINFLUOR | CHECK | rsi_strengthening = False
[2026-02-02 22:56:55] NAVINFLUOR | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:55] NAVINFLUOR | CHECK | ema_distance_ok = True
[2026-02-02 22:56:55] NAVINFLUOR | FAIL | pyramiding conditions not met
[2026-02-02 22:56:55] NESTLEIND | CHECK | rsi_strengthening = True
[2026-02-02 22:56:55] NESTLEIND | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:55] NESTLEIND | CHECK | ema_distance_ok = True
[2026-02-02 22:56:55] NESTLEIND | FAIL | pyramiding conditions not met
[2026-02-02 22:56:55] NIFTYBEES | CHECK | rsi_strengthening = False
[2026-02-02 22:56:55] NIFTYBEES | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:55] NIFTYBEES | CHECK | ema_distance_ok = True
[2026-02-02 22:56:55] NIFTYBEES | FAIL | pyramiding conditions not met
[2026-02-02 22:56:56] NTPC | CHECK | rsi_strengthening = False
[2026-02-02 22:56:56] NTPC | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:56] NTPC | CHECK | ema_distance_ok = True
[2026-02-02 22:56:56] NTPC | FAIL | pyramiding conditions not met
[2026-02-02 22:56:56] OIL | CHECK | rsi_strengthening = False
[2026-02-02 22:56:56] OIL | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:56] OIL | CHECK | ema_distance_ok = True
[2026-02-02 22:56:56] OIL | FAIL | pyramiding conditions not met
[2026-02-02 22:56:56] OLECTRA | CHECK | rsi_strengthening = True
[2026-02-02 22:56:56] OLECTRA | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:56] OLECTRA | CHECK | ema_distance_ok = True
[2026-02-02 22:56:56] OLECTRA | FAIL | pyramiding conditions not met
[2026-02-02 22:56:56] ONGC | CHECK | rsi_strengthening = False
[2026-02-02 22:56:56] ONGC | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:56] ONGC | CHECK | ema_distance_ok = True
[2026-02-02 22:56:56] ONGC | FAIL | pyramiding conditions not met
